"","X","is.HVG"
"BST2","BST2",FALSE
"BISPR","BISPR",FALSE
"MVB12A","MVB12A",FALSE
"AC010319.4","AC010319.4",FALSE
"AC010319.3","AC010319.3",FALSE
"TMEM221","TMEM221",FALSE
"AC010319.5","AC010319.5",FALSE
"NXNL1","NXNL1",FALSE
"SLC27A1","SLC27A1",FALSE
"AC010618.3","AC010618.3",FALSE
"PGLS","PGLS",FALSE
"AC010618.2","AC010618.2",FALSE
"NIBAN3","NIBAN3",FALSE
"COLGALT1","COLGALT1",TRUE
"UNC13A","UNC13A",FALSE
"AC008761.2","AC008761.2",FALSE
"MAP1S","MAP1S",FALSE
"AC008761.1","AC008761.1",FALSE
"FCHO1","FCHO1",FALSE
"B3GNT3","B3GNT3",FALSE
"INSL3","INSL3",FALSE
"JAK3","JAK3",FALSE
"RPL18A","RPL18A",FALSE
"SLC5A5","SLC5A5",FALSE
"CCDC124","CCDC124",FALSE
"KCNN1","KCNN1",FALSE
"ARRDC2","ARRDC2",FALSE
"IL12RB1","IL12RB1",FALSE
"MAST3","MAST3",FALSE
"AC007192.2","AC007192.2",FALSE
"PIK3R2","PIK3R2",FALSE
"IFI30","IFI30",TRUE
"MPV17L2","MPV17L2",FALSE
"RAB3A","RAB3A",FALSE
"AC005759.1","AC005759.1",FALSE
"PDE4C","PDE4C",FALSE
"AC008397.1","AC008397.1",FALSE
"IQCN","IQCN",FALSE
"JUND","JUND",FALSE
"LSM4","LSM4",FALSE
"PGPEP1","PGPEP1",FALSE
"GDF15","GDF15",FALSE
"LRRC25","LRRC25",FALSE
"SSBP4","SSBP4",FALSE
"ISYNA1","ISYNA1",FALSE
"AC010335.1","AC010335.1",FALSE
"ELL","ELL",FALSE
"AC005387.1","AC005387.1",FALSE
"FKBP8","FKBP8",FALSE
"AC005387.2","AC005387.2",FALSE
"KXD1","KXD1",FALSE
"AC005253.1","AC005253.1",FALSE
"AC005253.2","AC005253.2",FALSE
"UBA52","UBA52",FALSE
"CRLF1","CRLF1",TRUE
"REX1BD","REX1BD",FALSE
"TMEM59L","TMEM59L",FALSE
"KLHL26","KLHL26",FALSE
"CRTC1","CRTC1",FALSE
"COMP","COMP",TRUE
"UPF1","UPF1",FALSE
"GDF1","GDF1",FALSE
"CERS1","CERS1",FALSE
"AC005197.1","AC005197.1",FALSE
"COPE","COPE",FALSE
"DDX49","DDX49",FALSE
"HOMER3","HOMER3",TRUE
"HOMER3-AS1","HOMER3-AS1",FALSE
"SUGP2","SUGP2",FALSE
"ARMC6","ARMC6",TRUE
"SLC25A42","SLC25A42",FALSE
"TMEM161A","TMEM161A",FALSE
"MEF2B","MEF2B",FALSE
"BORCS8","BORCS8",FALSE
"RFXANK","RFXANK",FALSE
"NR2C2AP","NR2C2AP",FALSE
"NCAN","NCAN",FALSE
"HAPLN4","HAPLN4",FALSE
"TM6SF2","TM6SF2",FALSE
"SUGP1","SUGP1",FALSE
"MAU2","MAU2",FALSE
"GATAD2A","GATAD2A",FALSE
"AC092067.1","AC092067.1",FALSE
"TSSK6","TSSK6",FALSE
"NDUFA13","NDUFA13",FALSE
"YJEFN3","YJEFN3",FALSE
"CILP2","CILP2",TRUE
"PBX4","PBX4",FALSE
"AC002306.1","AC002306.1",FALSE
"LPAR2","LPAR2",FALSE
"GMIP","GMIP",FALSE
"ATP13A1","ATP13A1",FALSE
"ZNF101","ZNF101",FALSE
"ZNF14","ZNF14",FALSE
"AC011477.8","AC011477.8",FALSE
"LINC00663","LINC00663",FALSE
"AC011477.9","AC011477.9",FALSE
"ZNF506","ZNF506",FALSE
"AC011477.2","AC011477.2",FALSE
"ZNF253","ZNF253",FALSE
"AC011477.3","AC011477.3",FALSE
"ZNF93","ZNF93",FALSE
"ZNF682","ZNF682",FALSE
"ZNF90","ZNF90",FALSE
"AC011447.3","AC011447.3",FALSE
"ZNF486","ZNF486",FALSE
"AC008554.1","AC008554.1",FALSE
"ZNF737","ZNF737",FALSE
"AC010636.1","AC010636.1",FALSE
"ZNF626","ZNF626",FALSE
"AC010329.1","AC010329.1",FALSE
"ZNF66","ZNF66",FALSE
"ZNF85","ZNF85",FALSE
"AC008739.1","AC008739.1",FALSE
"ZNF430","ZNF430",FALSE
"ZNF714","ZNF714",TRUE
"ZNF431","ZNF431",FALSE
"ZNF708","ZNF708",FALSE
"ZNF738","ZNF738",FALSE
"ZNF493","ZNF493",FALSE
"AC010615.2","AC010615.2",FALSE
"LINC00664","LINC00664",FALSE
"ZNF429","ZNF429",FALSE
"AC123912.1","AC123912.1",FALSE
"AC123912.4","AC123912.4",FALSE
"AC123912.2","AC123912.2",FALSE
"ZNF100","ZNF100",FALSE
"AC092364.1","AC092364.1",FALSE
"ZNF43","ZNF43",FALSE
"ZNF208","ZNF208",FALSE
"AC003973.1","AC003973.1",FALSE
"ZNF257","ZNF257",FALSE
"ZNF676","ZNF676",FALSE
"AC073539.1","AC073539.1",FALSE
"AC073539.3","AC073539.3",FALSE
"ZNF729","ZNF729",FALSE
"ZNF98","ZNF98",FALSE
"AC011516.1","AC011516.1",FALSE
"AC025811.1","AC025811.1",FALSE
"AC011467.7","AC011467.7",FALSE
"AC011467.1","AC011467.1",FALSE
"LINC01233","LINC01233",FALSE
"LINC01785","LINC01785",FALSE
"ZNF492","ZNF492",FALSE
"AC024563.1","AC024563.1",FALSE
"ZNF99","ZNF99",FALSE
"ZNF723","ZNF723",FALSE
"AC022145.1","AC022145.1",FALSE
"ZNF728","ZNF728",FALSE
"LINC01859","LINC01859",FALSE
"LINC01858","LINC01858",FALSE
"AC074135.2","AC074135.2",FALSE
"AC074135.1","AC074135.1",FALSE
"ZNF730","ZNF730",FALSE
"ZNF724","ZNF724",FALSE
"AC092329.4","AC092329.4",FALSE
"ZNF91","ZNF91",TRUE
"AC010300.1","AC010300.1",FALSE
"LINC01224","LINC01224",FALSE
"ZNF675","ZNF675",FALSE
"ZNF681","ZNF681",FALSE
"AC139769.2","AC139769.2",FALSE
"AC011503.4","AC011503.4",FALSE
"ZNF726","ZNF726",FALSE
"AC011503.1","AC011503.1",FALSE
"AC011503.2","AC011503.2",FALSE
"AC092279.1","AC092279.1",FALSE
"ZNF254","ZNF254",FALSE
"AC073534.2","AC073534.2",FALSE
"ERVK-28","ERVK-28",FALSE
"LINC00662","LINC00662",TRUE
"AC006504.1","AC006504.1",FALSE
"AC006504.5","AC006504.5",FALSE
"AC006504.7","AC006504.7",FALSE
"AC006504.2","AC006504.2",FALSE
"AC010511.1","AC010511.1",FALSE
"AC020905.1","AC020905.1",FALSE
"AC005580.1","AC005580.1",FALSE
"AC093074.1","AC093074.1",FALSE
"AC005307.1","AC005307.1",FALSE
"AC005381.1","AC005381.1",FALSE
"AC005394.1","AC005394.1",FALSE
"AC005616.1","AC005616.1",FALSE
"AC079466.2","AC079466.2",FALSE
"AC079466.1","AC079466.1",FALSE
"AC007795.1","AC007795.1",FALSE
"LINC00906","LINC00906",FALSE
"AC008991.1","AC008991.1",FALSE
"AC011524.1","AC011524.1",FALSE
"AC011524.2","AC011524.2",FALSE
"LINC01532","LINC01532",FALSE
"AC011505.1","AC011505.1",FALSE
"UQCRFS1","UQCRFS1",FALSE
"AC007786.1","AC007786.1",FALSE
"AC007786.2","AC007786.2",FALSE
"AC007786.3","AC007786.3",FALSE
"AC007786.4","AC007786.4",FALSE
"AC011474.1","AC011474.1",FALSE
"AC011474.3","AC011474.3",FALSE
"AC011474.2","AC011474.2",FALSE
"VSTM2B","VSTM2B",FALSE
"POP4","POP4",FALSE
"PLEKHF1","PLEKHF1",TRUE
"C19orf12","C19orf12",TRUE
"AC008798.3","AC008798.3",FALSE
"CCNE1","CCNE1",FALSE
"AC008798.2","AC008798.2",FALSE
"URI1","URI1",FALSE
"AC008507.2","AC008507.2",FALSE
"AC008507.4","AC008507.4",FALSE
"AC008507.5","AC008507.5",FALSE
"AC005597.1","AC005597.1",FALSE
"ZNF536","ZNF536",FALSE
"AC011478.1","AC011478.1",FALSE
"AC011507.1","AC011507.1",FALSE
"LINC01834","LINC01834",FALSE
"AC020897.1","AC020897.1",FALSE
"AC020912.1","AC020912.1",FALSE
"TSHZ3","TSHZ3",FALSE
"LINC01791","LINC01791",FALSE
"AC025809.1","AC025809.1",FALSE
"AC008992.1","AC008992.1",FALSE
"AC008794.1","AC008794.1",FALSE
"LINC02841","LINC02841",FALSE
"AC011525.1","AC011525.1",FALSE
"AC011525.2","AC011525.2",FALSE
"LINC01837","LINC01837",FALSE
"LINC01533","LINC01533",FALSE
"LINC01782","LINC01782",FALSE
"AC011518.1","AC011518.1",FALSE
"AC074139.1","AC074139.1",FALSE
"ZNF507","ZNF507",FALSE
"AC007773.1","AC007773.1",FALSE
"DPY19L3","DPY19L3",TRUE
"PDCD5","PDCD5",FALSE
"ANKRD27","ANKRD27",FALSE
"AC008474.1","AC008474.1",FALSE
"RGS9BP","RGS9BP",FALSE
"AC008736.1","AC008736.1",FALSE
"NUDT19","NUDT19",FALSE
"AC008736.2","AC008736.2",FALSE
"TDRD12","TDRD12",FALSE
"SLC7A9","SLC7A9",FALSE
"AC008805.2","AC008805.2",FALSE
"CEP89","CEP89",FALSE
"FAAP24","FAAP24",FALSE
"RHPN2","RHPN2",FALSE
"GPATCH1","GPATCH1",FALSE
"WDR88","WDR88",FALSE
"LRP3","LRP3",FALSE
"AC008738.1","AC008738.1",FALSE
"AC008738.7","AC008738.7",FALSE
"SLC7A10","SLC7A10",FALSE
"AC008738.4","AC008738.4",FALSE
"AC008738.6","AC008738.6",FALSE
"AC008738.3","AC008738.3",FALSE
"CEBPA","CEBPA",FALSE
"AC008738.5","AC008738.5",FALSE
"CEBPA-DT","CEBPA-DT",FALSE
"AC008738.2","AC008738.2",FALSE
"CEBPG","CEBPG",FALSE
"PEPD","PEPD",FALSE
"AC010485.1","AC010485.1",FALSE
"CHST8","CHST8",FALSE
"KCTD15","KCTD15",FALSE
"AC008556.1","AC008556.1",FALSE
"AC016587.1","AC016587.1",FALSE
"LSM14A","LSM14A",FALSE
"KIAA0355","KIAA0355",FALSE
"AC010504.1","AC010504.1",FALSE
"GPI","GPI",FALSE
"PDCD2L","PDCD2L",FALSE
"AC008747.1","AC008747.1",FALSE
"UBA2","UBA2",FALSE
"WTIP","WTIP",TRUE
"SCGB1B2P","SCGB1B2P",FALSE
"SCGB2B2","SCGB2B2",FALSE
"AC020910.2","AC020910.2",FALSE
"ZNF302","ZNF302",FALSE
"AC020910.5","AC020910.5",FALSE
"ZNF181","ZNF181",FALSE
"ZNF599","ZNF599",FALSE
"LINC01801","LINC01801",FALSE
"AC008555.1","AC008555.1",FALSE
"AC008555.2","AC008555.2",FALSE
"AC008555.4","AC008555.4",FALSE
"AC008555.5","AC008555.5",FALSE
"LINC01838","LINC01838",FALSE
"ZNF30-AS1","ZNF30-AS1",FALSE
"ZNF30","ZNF30",FALSE
"ZNF792","ZNF792",FALSE
"GRAMD1A","GRAMD1A",FALSE
"AC020907.3","AC020907.3",FALSE
"AC020907.4","AC020907.4",FALSE
"SCN1B","SCN1B",TRUE
"HPN","HPN",FALSE
"HPN-AS1","HPN-AS1",FALSE
"AC020907.1","AC020907.1",FALSE
"FXYD3","FXYD3",TRUE
"LGI4","LGI4",TRUE
"FXYD1","FXYD1",TRUE
"FXYD7","FXYD7",FALSE
"FXYD5","FXYD5",TRUE
"FAM187B","FAM187B",FALSE
"LSR","LSR",FALSE
"AC002128.2","AC002128.2",FALSE
"AC002128.1","AC002128.1",FALSE
"USF2","USF2",FALSE
"HAMP","HAMP",FALSE
"MAG","MAG",FALSE
"CD22","CD22",FALSE
"U62631.1","U62631.1",FALSE
"FFAR1","FFAR1",FALSE
"FFAR3","FFAR3",FALSE
"GPR42","GPR42",FALSE
"LINC01531","LINC01531",FALSE
"AC002511.2","AC002511.2",FALSE
"AC002511.1","AC002511.1",FALSE
"FFAR2","FFAR2",FALSE
"KRTDAP","KRTDAP",FALSE
"DMKN","DMKN",FALSE
"SBSN","SBSN",FALSE
"GAPDHS","GAPDHS",FALSE
"TMEM147-AS1","TMEM147-AS1",FALSE
"TMEM147","TMEM147",FALSE
"ATP4A","ATP4A",FALSE
"AD000090.1","AD000090.1",FALSE
"PMIS2","PMIS2",FALSE
"LINC01766","LINC01766",FALSE
"AC002115.1","AC002115.1",FALSE
"HAUS5","HAUS5",FALSE
"RBM42","RBM42",FALSE
"ETV2","ETV2",FALSE
"COX6B1","COX6B1",FALSE
"UPK1A","UPK1A",FALSE
"UPK1A-AS1","UPK1A-AS1",FALSE
"ZBTB32","ZBTB32",FALSE
"KMT2B","KMT2B",FALSE
"IGFLR1","IGFLR1",FALSE
"U2AF1L4","U2AF1L4",FALSE
"PSENEN","PSENEN",TRUE
"AD000671.3","AD000671.3",FALSE
"LIN37","LIN37",FALSE
"AC002398.2","AC002398.2",FALSE
"HSPB6","HSPB6",TRUE
"PROSER3","PROSER3",FALSE
"AC002398.1","AC002398.1",FALSE
"ARHGAP33","ARHGAP33",FALSE
"PRODH2","PRODH2",FALSE
"NPHS1","NPHS1",FALSE
"KIRREL2","KIRREL2",FALSE
"APLP1","APLP1",FALSE
"NFKBID","NFKBID",FALSE
"HCST","HCST",FALSE
"TYROBP","TYROBP",TRUE
"LRFN3","LRFN3",FALSE
"AF038458.3","AF038458.3",FALSE
"AF038458.2","AF038458.2",FALSE
"SDHAF1","SDHAF1",FALSE
"SYNE4","SYNE4",FALSE
"ALKBH6","ALKBH6",FALSE
"AC002116.2","AC002116.2",FALSE
"CLIP3","CLIP3",TRUE
"THAP8","THAP8",FALSE
"WDR62","WDR62",FALSE
"OVOL3","OVOL3",FALSE
"POLR2I","POLR2I",FALSE
"TBCB","TBCB",FALSE
"CAPNS1","CAPNS1",FALSE
"AD001527.1","AD001527.1",FALSE
"COX7A1","COX7A1",TRUE
"ZNF565","ZNF565",FALSE
"ZNF146","ZNF146",FALSE
"AC092296.2","AC092296.2",FALSE
"LINC00665","LINC00665",FALSE
"ZFP14","ZFP14",FALSE
"AC092296.1","AC092296.1",FALSE
"AC092296.4","AC092296.4",FALSE
"ZFP82","ZFP82",FALSE
"ZNF566","ZNF566",FALSE
"AC092295.2","AC092295.2",FALSE
"ZNF260","ZNF260",FALSE
"AC092295.1","AC092295.1",FALSE
"ZNF529","ZNF529",FALSE
"ZNF529-AS1","ZNF529-AS1",FALSE
"ZNF382","ZNF382",FALSE
"ZNF461","ZNF461",FALSE
"AC074138.1","AC074138.1",FALSE
"LINC01534","LINC01534",FALSE
"ZNF567","ZNF567",FALSE
"ZNF850","ZNF850",FALSE
"AC020928.1","AC020928.1",FALSE
"AC020928.2","AC020928.2",FALSE
"ZNF790-AS1","ZNF790-AS1",FALSE
"ZNF790","ZNF790",FALSE
"ZNF345","ZNF345",FALSE
"ZNF829","ZNF829",FALSE
"ZNF568","ZNF568",FALSE
"ZNF420","ZNF420",FALSE
"AC010632.1","AC010632.1",FALSE
"AC010632.2","AC010632.2",FALSE
"ZNF585A","ZNF585A",FALSE
"AC012309.2","AC012309.2",FALSE
"ZNF585B","ZNF585B",FALSE
"ZNF383","ZNF383",FALSE
"AC016590.1","AC016590.1",FALSE
"LINC01535","LINC01535",FALSE
"AC016590.4","AC016590.4",FALSE
"ZNF875","ZNF875",FALSE
"AC016590.3","AC016590.3",FALSE
"AC016590.2","AC016590.2",FALSE
"ZNF527","ZNF527",FALSE
"ZNF569","ZNF569",FALSE
"ZNF570","ZNF570",FALSE
"ZNF793-AS1","ZNF793-AS1",FALSE
"AC022148.2","AC022148.2",FALSE
"ZNF793","ZNF793",FALSE
"AC022148.1","AC022148.1",FALSE
"ZNF571-AS1","ZNF571-AS1",FALSE
"ZNF540","ZNF540",FALSE
"ZNF571","ZNF571",FALSE
"ZFP30","ZFP30",FALSE
"ZNF781","ZNF781",FALSE
"ZNF607","ZNF607",FALSE
"AC093227.1","AC093227.1",FALSE
"AC093227.3","AC093227.3",FALSE
"ZNF573","ZNF573",FALSE
"WDR87","WDR87",FALSE
"SIPA1L3","SIPA1L3",FALSE
"AC008395.1","AC008395.1",FALSE
"AC011465.1","AC011465.1",FALSE
"AC011479.3","AC011479.3",FALSE
"AC011479.2","AC011479.2",FALSE
"DPF1","DPF1",FALSE
"SPINT2","SPINT2",TRUE
"PPP1R14A","PPP1R14A",TRUE
"AC011479.4","AC011479.4",FALSE
"YIF1B","YIF1B",FALSE
"C19orf33","C19orf33",TRUE
"KCNK6","KCNK6",TRUE
"CATSPERG","CATSPERG",FALSE
"AC005625.1","AC005625.1",FALSE
"PSMD8","PSMD8",FALSE
"GGN","GGN",FALSE
"AC005789.1","AC005789.1",FALSE
"SPRED3","SPRED3",FALSE
"FAM98C","FAM98C",FALSE
"RASGRP4","RASGRP4",FALSE
"RYR1","RYR1",FALSE
"AC067969.2","AC067969.2",FALSE
"AC067969.1","AC067969.1",FALSE
"MAP4K1","MAP4K1",FALSE
"AC008649.1","AC008649.1",FALSE
"EIF3K","EIF3K",FALSE
"ACTN4","ACTN4",FALSE
"AC008649.2","AC008649.2",FALSE
"CAPN12","CAPN12",FALSE
"AC022144.1","AC022144.1",FALSE
"LGALS7","LGALS7",FALSE
"LGALS7B","LGALS7B",FALSE
"LGALS4","LGALS4",FALSE
"ECH1","ECH1",FALSE
"AC104534.1","AC104534.1",FALSE
"HNRNPL","HNRNPL",FALSE
"AC008982.2","AC008982.2",FALSE
"RINL","RINL",FALSE
"AC011455.1","AC011455.1",FALSE
"SIRT2","SIRT2",FALSE
"NFKBIB","NFKBIB",FALSE
"CCER2","CCER2",FALSE
"SARS2","SARS2",FALSE
"MRPS12","MRPS12",FALSE
"ERVK9-11","ERVK9-11",FALSE
"FBXO17","FBXO17",FALSE
"AC011455.6","AC011455.6",FALSE
"FBXO27","FBXO27",FALSE
"AC010605.1","AC010605.1",FALSE
"ACP7","ACP7",FALSE
"PAK4","PAK4",FALSE
"AC011443.1","AC011443.1",FALSE
"NCCRP1","NCCRP1",FALSE
"SYCN","SYCN",FALSE
"IFNL3","IFNL3",FALSE
"IFNL2","IFNL2",FALSE
"IFNL1","IFNL1",FALSE
"LRFN1","LRFN1",FALSE
"AC011445.1","AC011445.1",FALSE
"GMFG","GMFG",FALSE
"AC011445.2","AC011445.2",FALSE
"SAMD4B","SAMD4B",FALSE
"PAF1","PAF1",FALSE
"MED29","MED29",FALSE
"ZFP36","ZFP36",FALSE
"PLEKHG2","PLEKHG2",FALSE
"RPS16","RPS16",FALSE
"SUPT5H","SUPT5H",FALSE
"TIMM50","TIMM50",FALSE
"DLL3","DLL3",FALSE
"SELENOV","SELENOV",FALSE
"EID2B","EID2B",FALSE
"AC011500.3","AC011500.3",FALSE
"EID2","EID2",FALSE
"LGALS13","LGALS13",FALSE
"LGALS16","LGALS16",FALSE
"LGALS14","LGALS14",FALSE
"CLC","CLC",FALSE
"LEUTX","LEUTX",FALSE
"AC005393.1","AC005393.1",FALSE
"DYRK1B","DYRK1B",FALSE
"FBL","FBL",FALSE
"FCGBP","FCGBP",TRUE
"PSMC4","PSMC4",FALSE
"ZNF546","ZNF546",FALSE
"ZNF780B","ZNF780B",FALSE
"ZNF780A","ZNF780A",FALSE
"AC005614.1","AC005614.1",FALSE
"MAP3K10","MAP3K10",FALSE
"TTC9B","TTC9B",FALSE
"CNTD2","CNTD2",FALSE
"AKT2","AKT2",FALSE
"AC118344.1","AC118344.1",FALSE
"C19orf47","C19orf47",FALSE
"PLD3","PLD3",FALSE
"HIPK4","HIPK4",FALSE
"PRX","PRX",FALSE
"SERTAD1","SERTAD1",FALSE
"AC010271.2","AC010271.2",FALSE
"SERTAD3","SERTAD3",FALSE
"AC010271.1","AC010271.1",FALSE
"BLVRB","BLVRB",FALSE
"SPTBN4","SPTBN4",FALSE
"SHKBP1","SHKBP1",FALSE
"LTBP4","LTBP4",TRUE
"NUMBL","NUMBL",FALSE
"COQ8B","COQ8B",FALSE
"ITPKC","ITPKC",FALSE
"C19orf54","C19orf54",FALSE
"SNRPA","SNRPA",FALSE
"MIA","MIA",TRUE
"RAB4B","RAB4B",FALSE
"AC008537.4","AC008537.4",FALSE
"EGLN2","EGLN2",FALSE
"AC008537.2","AC008537.2",FALSE
"CYP2A6","CYP2A6",FALSE
"CYP2A7","CYP2A7",FALSE
"AC092071.1","AC092071.1",FALSE
"CYP2B6","CYP2B6",FALSE
"CYP2A13","CYP2A13",FALSE
"CYP2F1","CYP2F1",FALSE
"CYP2S1","CYP2S1",FALSE
"AXL","AXL",TRUE
"AC011510.1","AC011510.1",FALSE
"HNRNPUL1","HNRNPUL1",FALSE
"TGFB1","TGFB1",FALSE
"AC011462.5","AC011462.5",FALSE
"CCDC97","CCDC97",FALSE
"TMEM91","TMEM91",TRUE
"B9D2","B9D2",FALSE
"AC011462.4","AC011462.4",FALSE
"EXOSC5","EXOSC5",FALSE
"BCKDHA","BCKDHA",FALSE
"AC011462.3","AC011462.3",FALSE
"AC011462.2","AC011462.2",FALSE
"B3GNT8","B3GNT8",FALSE
"DMAC2","DMAC2",FALSE
"ERICH4","ERICH4",FALSE
"PCAT19","PCAT19",TRUE
"AC243960.3","AC243960.3",FALSE
"LINC01480","LINC01480",FALSE
"AC243960.1","AC243960.1",FALSE
"CEACAM21","CEACAM21",FALSE
"CEACAM4","CEACAM4",FALSE
"CEACAM7","CEACAM7",FALSE
"CEACAM5","CEACAM5",FALSE
"CEACAM6","CEACAM6",TRUE
"AC243967.2","AC243967.2",FALSE
"CEACAM3","CEACAM3",FALSE
"AC243967.3","AC243967.3",FALSE
"LYPD4","LYPD4",FALSE
"DMRTC2","DMRTC2",FALSE
"RPS19","RPS19",FALSE
"CD79A","CD79A",FALSE
"ARHGEF1","ARHGEF1",FALSE
"ERFL","ERFL",FALSE
"RABAC1","RABAC1",FALSE
"ATP1A3","ATP1A3",FALSE
"GRIK5","GRIK5",FALSE
"ZNF574","ZNF574",FALSE
"POU2F2","POU2F2",TRUE
"AC010247.1","AC010247.1",FALSE
"AC010247.2","AC010247.2",FALSE
"DEDD2","DEDD2",FALSE
"ZNF526","ZNF526",FALSE
"GSK3A","GSK3A",FALSE
"ERF","ERF",FALSE
"CIC","CIC",FALSE
"PAFAH1B3","PAFAH1B3",FALSE
"PRR19","PRR19",FALSE
"TMEM145","TMEM145",FALSE
"MEGF8","MEGF8",FALSE
"CNFN","CNFN",FALSE
"LIPE-AS1","LIPE-AS1",FALSE
"LIPE","LIPE",FALSE
"AC011497.1","AC011497.1",FALSE
"CXCL17","CXCL17",TRUE
"CEACAM1","CEACAM1",FALSE
"CEACAM8","CEACAM8",FALSE
"PSG3","PSG3",FALSE
"PSG8","PSG8",FALSE
"PSG8-AS1","PSG8-AS1",FALSE
"PSG1","PSG1",FALSE
"PSG6","PSG6",FALSE
"PSG7","PSG7",FALSE
"AC004784.1","AC004784.1",FALSE
"PSG11","PSG11",FALSE
"PSG2","PSG2",FALSE
"AC005392.1","AC005392.1",FALSE
"PSG5","PSG5",FALSE
"PSG4","PSG4",FALSE
"PSG9","PSG9",FALSE
"AC005392.2","AC005392.2",FALSE
"CD177","CD177",FALSE
"AC005392.3","AC005392.3",FALSE
"TEX101","TEX101",FALSE
"LYPD3","LYPD3",FALSE
"PHLDB3","PHLDB3",FALSE
"ETHE1","ETHE1",FALSE
"ZNF575","ZNF575",FALSE
"XRCC1","XRCC1",FALSE
"L34079.2","L34079.2",FALSE
"L34079.3","L34079.3",FALSE
"PINLYP","PINLYP",FALSE
"IRGQ","IRGQ",FALSE
"ZNF576","ZNF576",FALSE
"SRRM5","SRRM5",FALSE
"ZNF428","ZNF428",FALSE
"CADM4","CADM4",FALSE
"PLAUR","PLAUR",FALSE
"IRGC","IRGC",FALSE
"SMG9","SMG9",FALSE
"KCNN4","KCNN4",FALSE
"LYPD5","LYPD5",FALSE
"AC115522.1","AC115522.1",FALSE
"ZNF283","ZNF283",FALSE
"ZNF404","ZNF404",FALSE
"AC006213.2","AC006213.2",FALSE
"AC006213.7","AC006213.7",FALSE
"AC006213.3","AC006213.3",FALSE
"ZNF45","ZNF45",FALSE
"ZNF221","ZNF221",FALSE
"ZNF155","ZNF155",FALSE
"AC006213.4","AC006213.4",FALSE
"AC006213.5","AC006213.5",FALSE
"AC006213.1","AC006213.1",FALSE
"ZNF230","ZNF230",FALSE
"AC067968.2","AC067968.2",FALSE
"ZNF222","ZNF222",FALSE
"ZNF223","ZNF223",FALSE
"ZNF284","ZNF284",FALSE
"ZNF224","ZNF224",FALSE
"AC021092.1","AC021092.1",FALSE
"ZNF225","ZNF225",FALSE
"ZNF234","ZNF234",FALSE
"AC138470.2","AC138470.2",FALSE
"ZNF226","ZNF226",FALSE
"ZNF227","ZNF227",FALSE
"ZNF235","ZNF235",FALSE
"ZNF233","ZNF233",FALSE
"ZNF112","ZNF112",FALSE
"ZNF285","ZNF285",FALSE
"ZNF229","ZNF229",FALSE
"ZNF180","ZNF180",FALSE
"CEACAM20","CEACAM20",FALSE
"AC245748.3","AC245748.3",FALSE
"IGSF23","IGSF23",FALSE
"AC243964.3","AC243964.3",FALSE
"PVR","PVR",FALSE
"CEACAM19","CEACAM19",FALSE
"CEACAM16","CEACAM16",FALSE
"BCL3","BCL3",FALSE
"CBLC","CBLC",FALSE
"AC092306.1","AC092306.1",FALSE
"BCAM","BCAM",TRUE
"NECTIN2","NECTIN2",FALSE
"AC011481.2","AC011481.2",FALSE
"TOMM40","TOMM40",FALSE
"APOE","APOE",TRUE
"APOC1","APOC1",TRUE
"APOC4","APOC4",FALSE
"APOC2","APOC2",FALSE
"AC011481.1","AC011481.1",FALSE
"CLPTM1","CLPTM1",FALSE
"RELB","RELB",FALSE
"CLASRP","CLASRP",FALSE
"ZNF296","ZNF296",FALSE
"GEMIN7-AS1","GEMIN7-AS1",FALSE
"GEMIN7","GEMIN7",FALSE
"MARK4","MARK4",FALSE
"PPP1R37","PPP1R37",FALSE
"AC005757.1","AC005757.1",FALSE
"NKPD1","NKPD1",FALSE
"TRAPPC6A","TRAPPC6A",FALSE
"BLOC1S3","BLOC1S3",FALSE
"EXOC3L2","EXOC3L2",FALSE
"CKM","CKM",FALSE
"KLC3","KLC3",FALSE
"ERCC2","ERCC2",FALSE
"PPP1R13L","PPP1R13L",FALSE
"CD3EAP","CD3EAP",FALSE
"ERCC1","ERCC1",FALSE
"FOSB","FOSB",FALSE
"RTN2","RTN2",FALSE
"PPM1N","PPM1N",FALSE
"VASP","VASP",FALSE
"OPA3","OPA3",FALSE
"GPR4","GPR4",FALSE
"EML2","EML2",FALSE
"EML2-AS1","EML2-AS1",FALSE
"GIPR","GIPR",FALSE
"SNRPD2","SNRPD2",FALSE
"QPCTL","QPCTL",FALSE
"FBXO46","FBXO46",FALSE
"BHMG1","BHMG1",FALSE
"SIX5","SIX5",FALSE
"AC074212.1","AC074212.1",FALSE
"DM1-AS","DM1-AS",FALSE
"DMPK","DMPK",FALSE
"DMWD","DMWD",FALSE
"RSPH6A","RSPH6A",FALSE
"SYMPK","SYMPK",FALSE
"AC092301.1","AC092301.1",FALSE
"FOXA3","FOXA3",FALSE
"IRF2BP1","IRF2BP1",FALSE
"MYPOP","MYPOP",FALSE
"NANOS2","NANOS2",FALSE
"NOVA2","NOVA2",FALSE
"CCDC61","CCDC61",FALSE
"PGLYRP1","PGLYRP1",FALSE
"AC007785.3","AC007785.3",FALSE
"IGFL4","IGFL4",FALSE
"AC007785.1","AC007785.1",FALSE
"IGFL3","IGFL3",FALSE
"IGFL2","IGFL2",FALSE
"AC006262.2","AC006262.2",FALSE
"IGFL2-AS1","IGFL2-AS1",FALSE
"AC006262.1","AC006262.1",FALSE
"AC006262.3","AC006262.3",FALSE
"IGFL1","IGFL1",FALSE
"HIF3A","HIF3A",TRUE
